Time,E1,E2,E3,E4,E5,E6,E7
1.05,-2.9,-16.2,-18,8.1,-12.9,-19.6,-2.2
1.0533,-5.3,-16.2,-14.6,6.9,-10.3,-19.1,-2.2
1.0567,-7.8,-16,-10.2,5.1,-10.3,-19.4,-3.4
1.06,-8.1,-15.6,-7,3.5,-13.2,-19.8,-4.7
1.0633,-5.6,-15.2,-6.7,2.6,-17.9,-20.7,-5.5
1.0667,-2,-15.7,-10.2,2.4,-22,-22.4,-6.1
1.07,-0.1,-17.5,-16.2,2.3,-22.9,-23.9,-6.6
1.0733,-1.1,-20.1,-21.4,2.4,-19.7,-23.5,-6.9
1.0767,-3.8,-21.7,-22.1,3.5,-14,-20.1,-6.5
1.08,-5.3,-21.1,-16.7,5.8,-9.1,-14.7,-4.9
1.0833,-3.9,-17.9,-7.6,8.6,-8.3,-10.2,-2.3
1.0867,0,-13,0.1,10.1,-11.9,-9.5,0.3
1.09,4.1,-8.1,2.2,8.9,-17.4,-12.7,1.6
1.0933,6.1,-4.7,-1.8,5.8,-21.1,-17.7,0.8
1.0967,5.4,-3.3,-7.9,3.1,-20.8,-21.2,-1.9
1.1,3.4,-3.7,-11,3.2,-17.2,-21.6,-5.6
1.1033,2,-4.9,-9.3,6.3,-12.6,-19.5,-8.4
1.1067,2.4,-6.2,-5,10.3,-9.3,-17,-8.9
1.11,3.8,-6.9,-2.6,12,-7.8,-15.5,-6.6
1.1133,4.7,-6.8,-4.6,10.3,-7.1,-15,-2.3
1.1167,4,-6.4,-9.3,6.8,-6,-14.3,2.1
1.12,1.9,-6.3,-12.4,4.3,-4.5,-12.2,5.1
1.1233,0.4,-6.7,-10.8,4.5,-3.2,-9.3,5.9
1.1267,1.4,-7.6,-5.6,6.3,-3.1,-7.1,5
1.13,5.1,-8.1,-0.9,6.8,-4.1,-6.9,3.9
1.1333,10.1,-7.5,-0.1,4.2,-5.6,-8.8,3.6
1.1367,13.5,-6.1,-3.7,-0.7,-6.6,-11.3,4.7
1.14,13.1,-5,-8.7,-4.6,-6.8,-12.7,6.6
1.1433,9,-5.8,-11.5,-4.9,-6,-12.1,8.5
1.1467,3.8,-8.4,-11.3,-1.9,-4.6,-10,9.7
1.15,1.2,-11.5,-9.7,1.4,-3.2,-8.3,9.8
1.1533,3.2,-12.7,-9.1,1.7,-2.4,-8.6,8.7
1.1567,8.8,-10.9,-10.2,-1.8,-2.5,-11.1,6.1
1.16,14.4,-7,-11.9,-6.2,-3,-14.6,2.2
1.1633,16.1,-3.8,-12.6,-7.9,-2.8,-16.8,-2.4
1.1667,12,-3.5,-11.8,-5.6,-1.2,-16.6,-6.4
1.17,3.3,-6.5,-10.9,-1.2,1.3,-14.2,-8.4
1.1733,-6.6,-10.8,-11.6,1.7,3.1,-11,-7.7
1.1767,-13.8,-13.7,-13.8,0.9,2.5,-8.8,-4.8
1.18,-16.3,-13.8,-16.1,-2.6,-0.9,-8.6,-1.6
1.1833,-14,-11.8,-16.4,-5.6,-5.3,-10,-0.3
1.1867,-8.5,-9.5,-14.4,-5.4,-8,-11.9,-1.8
1.19,-2.4,-8.3,-11.2,-2.2,-7.2,-13.1,-5.1
1.1933,2.4,-8.1,-8.9,1.6,-3.2,-13.1,-8.1
1.1967,4.9,-8.1,-8.2,3.4,1.5,-12.1,-8.6
1.2,5.3,-7.7,-8.7,2,4.2,-11,-6.6
1.2033,4.8,-7.7,-9,-1.2,3.3,-11.2,-4
1.2067,4.5,-9.5,-9,-4.1,-0.3,-13.4,-3.9
1.21,5.2,-13.2,-9.9,-5.4,-4.6,-17.2,-7.6
1.2133,6.6,-17.6,-12.9,-5.4,-7.6,-21.3,-13.8
1.2167,7.3,-20.3,-17.9,-5.4,-8.2,-23.1,-19.1
1.22,6.1,-19.7,-22.6,-5.9,-6.4,-20.7,-19.9
1.2233,2.8,-16.2,-23.7,-6.1,-2.9,-14,-15.3
1.2267,-1.6,-11.7,-19.6,-4.2,0.7,-5.2,-7.2
1.23,-5.2,-8.7,-11.8,0.2,2.7,2.1,0.4
1.2333,-6.6,-8.5,-4.2,5.4,1.7,4.8,4.5
1.2367,-5.7,-10.5,-1.1,8.2,-2.4,2.1,4.4
1.24,-3.2,-13.2,-3.6,6.2,-7.9,-4.2,1.5
1.2433,-0.5,-15.3,-9.7,-0.2,-12,-11,-1.6
1.2467,1.4,-16.2,-15.5,-8.1,-12.2,-15.7,-3.6
1.25,1.9,-16.7,-18.1,-14,-8.5,-17.1,-4.6
1.2533,1.1,-17.3,-17.3,-15.9,-2.9,-15.8,-5.2
1.2567,-0.8,-18.1,-14.8,-14,1.5,-13.2,-5.7
1.26,-3,-18.3,-12.2,-10,2.7,-10.5,-5.4
1.2633,-4.6,-17,-9.6,-5.4,1.2,-8.1,-3.5
